artist,song_name,features
MassiveMusic,This Magic Moment - Crisp.nl Version,"{'danceability': 0.823, 'energy': 0.671, 'key': 11, 'loudness': -6.437, 'mode': 1, 'speechiness': 0.0592, 'acousticness': 0.551, 'instrumentalness': 0.00144, 'liveness': 0.354, 'valence': 0.662, 'tempo': 125.052, 'type': 'audio_features', 'id': '6uDlwsguxFDgbakvPyhChp', 'uri': 'spotify:track:6uDlwsguxFDgbakvPyhChp', 'track_href': 'https://api.spotify.com/v1/tracks/6uDlwsguxFDgbakvPyhChp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6uDlwsguxFDgbakvPyhChp', 'duration_ms': 188697, 'time_signature': 4}"
Hoosky,00h00,"{'danceability': 0.375, 'energy': 0.606, 'key': 4, 'loudness': -9.383, 'mode': 0, 'speechiness': 0.197, 'acousticness': 0.339, 'instrumentalness': 0.000924, 'liveness': 0.424, 'valence': 0.883, 'tempo': 91.564, 'type': 'audio_features', 'id': '00LvjMnpznr4MZFSA8x9sA', 'uri': 'spotify:track:00LvjMnpznr4MZFSA8x9sA', 'track_href': 'https://api.spotify.com/v1/tracks/00LvjMnpznr4MZFSA8x9sA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/00LvjMnpznr4MZFSA8x9sA', 'duration_ms': 51373, 'time_signature': 4}"
The Rolling Stones,Under My Thumb,"{'danceability': 0.738, 'energy': 0.491, 'key': 6, 'loudness': -13.407, 'mode': 0, 'speechiness': 0.0487, 'acousticness': 0.298, 'instrumentalness': 0.218, 'liveness': 0.119, 'valence': 0.809, 'tempo': 126.96, 'type': 'audio_features', 'id': '3E8gEvhLia6w9lQv3hfxzM', 'uri': 'spotify:track:3E8gEvhLia6w9lQv3hfxzM', 'track_href': 'https://api.spotify.com/v1/tracks/3E8gEvhLia6w9lQv3hfxzM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3E8gEvhLia6w9lQv3hfxzM', 'duration_ms': 221533, 'time_signature': 4}"
Jane B,Conquer Me,"{'danceability': 0.657, 'energy': 0.488, 'key': 8, 'loudness': -10.416, 'mode': 0, 'speechiness': 0.0456, 'acousticness': 0.213, 'instrumentalness': 0.0942, 'liveness': 0.36, 'valence': 0.662, 'tempo': 149.763, 'type': 'audio_features', 'id': '2jjPlj6KFzCffJ7KVQMwHX', 'uri': 'spotify:track:2jjPlj6KFzCffJ7KVQMwHX', 'track_href': 'https://api.spotify.com/v1/tracks/2jjPlj6KFzCffJ7KVQMwHX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2jjPlj6KFzCffJ7KVQMwHX', 'duration_ms': 216235, 'time_signature': 4}"
Domo Genesis,Dapper (feat. Anderson .Paak),"{'danceability': 0.753, 'energy': 0.594, 'key': 1, 'loudness': -9.486, 'mode': 0, 'speechiness': 0.0816, 'acousticness': 0.0711, 'instrumentalness': 0, 'liveness': 0.391, 'valence': 0.562, 'tempo': 112.568, 'type': 'audio_features', 'id': '3seHx466iTcUmWE9dOVB3v', 'uri': 'spotify:track:3seHx466iTcUmWE9dOVB3v', 'track_href': 'https://api.spotify.com/v1/tracks/3seHx466iTcUmWE9dOVB3v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3seHx466iTcUmWE9dOVB3v', 'duration_ms': 193093, 'time_signature': 4}"
Tune-Yards,Water Fountain,"{'danceability': 0.825, 'energy': 0.69, 'key': 1, 'loudness': -6.234, 'mode': 1, 'speechiness': 0.065, 'acousticness': 0.00337, 'instrumentalness': 0.00277, 'liveness': 0.367, 'valence': 0.589, 'tempo': 110.488, 'type': 'audio_features', 'id': '3pndgH9sLDTCWtCwr8LWt9', 'uri': 'spotify:track:3pndgH9sLDTCWtCwr8LWt9', 'track_href': 'https://api.spotify.com/v1/tracks/3pndgH9sLDTCWtCwr8LWt9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3pndgH9sLDTCWtCwr8LWt9', 'duration_ms': 183453, 'time_signature': 4}"
Bob Marley & The Wailers,Sun Is Shining,"{'danceability': 0.784, 'energy': 0.52, 'key': 0, 'loudness': -8.27, 'mode': 1, 'speechiness': 0.227, 'acousticness': 0.121, 'instrumentalness': 0.00158, 'liveness': 0.146, 'valence': 0.854, 'tempo': 72.678, 'type': 'audio_features', 'id': '3PPigifoeEofIISQYbayMK', 'uri': 'spotify:track:3PPigifoeEofIISQYbayMK', 'track_href': 'https://api.spotify.com/v1/tracks/3PPigifoeEofIISQYbayMK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3PPigifoeEofIISQYbayMK', 'duration_ms': 134573, 'time_signature': 4}"
T. Rex,Ride A White Swan,"{'danceability': 0.342, 'energy': 0.442, 'key': 8, 'loudness': -9.782, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.793, 'instrumentalness': 0.000105, 'liveness': 0.0758, 'valence': 0.804, 'tempo': 147.7, 'type': 'audio_features', 'id': '3olQaoZDc2O1mFDod0evZI', 'uri': 'spotify:track:3olQaoZDc2O1mFDod0evZI', 'track_href': 'https://api.spotify.com/v1/tracks/3olQaoZDc2O1mFDod0evZI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3olQaoZDc2O1mFDod0evZI', 'duration_ms': 132800, 'time_signature': 4}"
The Dramatics,Whatcha See Is Whatcha Get,"{'danceability': 0.638, 'energy': 0.708, 'key': 6, 'loudness': -10.383, 'mode': 1, 'speechiness': 0.128, 'acousticness': 0.226, 'instrumentalness': 0, 'liveness': 0.12, 'valence': 0.904, 'tempo': 153.144, 'type': 'audio_features', 'id': '6J7uQ9vLtBqNikEhlKUOnu', 'uri': 'spotify:track:6J7uQ9vLtBqNikEhlKUOnu', 'track_href': 'https://api.spotify.com/v1/tracks/6J7uQ9vLtBqNikEhlKUOnu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6J7uQ9vLtBqNikEhlKUOnu', 'duration_ms': 212840, 'time_signature': 4}"
Erykah Badu,In Love With You,"{'danceability': 0.72, 'energy': 0.272, 'key': 9, 'loudness': -12.919, 'mode': 0, 'speechiness': 0.0683, 'acousticness': 0.58, 'instrumentalness': 0, 'liveness': 0.145, 'valence': 0.661, 'tempo': 132.494, 'type': 'audio_features', 'id': '6uI95ERPZV6tivkNWsOKet', 'uri': 'spotify:track:6uI95ERPZV6tivkNWsOKet', 'track_href': 'https://api.spotify.com/v1/tracks/6uI95ERPZV6tivkNWsOKet', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6uI95ERPZV6tivkNWsOKet', 'duration_ms': 322533, 'time_signature': 4}"
