title,artist,url,features
I'm Glad,Captain Beefheart & His Magic Band,https://open.spotify.com/track/6vcF9napv3kwm8rSb4O2si,"{'danceability': 0.366, 'energy': 0.407, 'key': 2, 'loudness': -10.047, 'mode': 1, 'speechiness': 0.0265, 'acousticness': 0.887, 'instrumentalness': 0.263, 'liveness': 0.114, 'valence': 0.351, 'tempo': 148.436, 'type': 'audio_features', 'id': '6vcF9napv3kwm8rSb4O2si', 'uri': 'spotify:track:6vcF9napv3kwm8rSb4O2si', 'track_href': 'https://api.spotify.com/v1/tracks/6vcF9napv3kwm8rSb4O2si', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6vcF9napv3kwm8rSb4O2si', 'duration_ms': 210400, 'time_signature': 3}"
Hair Pie: Bake 1,Captain Beefheart & His Magic Band,https://open.spotify.com/track/1e9iQr5onjN9PSzC5rHizs,"{'danceability': 0.32, 'energy': 0.459, 'key': 5, 'loudness': -13.771, 'mode': 0, 'speechiness': 0.0758, 'acousticness': 0.32, 'instrumentalness': 0.193, 'liveness': 0.377, 'valence': 0.321, 'tempo': 87.364, 'type': 'audio_features', 'id': '1e9iQr5onjN9PSzC5rHizs', 'uri': 'spotify:track:1e9iQr5onjN9PSzC5rHizs', 'track_href': 'https://api.spotify.com/v1/tracks/1e9iQr5onjN9PSzC5rHizs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1e9iQr5onjN9PSzC5rHizs', 'duration_ms': 297970, 'time_signature': 4}"
Her Eyes Are a Blue Million Miles,Captain Beefheart & His Magic Band,https://open.spotify.com/track/6fJSEk0GDtPOk3gFxcnbUy,"{'danceability': 0.786, 'energy': 0.357, 'key': 4, 'loudness': -15.838, 'mode': 0, 'speechiness': 0.0472, 'acousticness': 0.416, 'instrumentalness': 0.00119, 'liveness': 0.0756, 'valence': 0.712, 'tempo': 88.969, 'type': 'audio_features', 'id': '6fJSEk0GDtPOk3gFxcnbUy', 'uri': 'spotify:track:6fJSEk0GDtPOk3gFxcnbUy', 'track_href': 'https://api.spotify.com/v1/tracks/6fJSEk0GDtPOk3gFxcnbUy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6fJSEk0GDtPOk3gFxcnbUy', 'duration_ms': 177507, 'time_signature': 4}"
The Blimp (Mousetrapreplica),Captain Beefheart & His Magic Band,https://open.spotify.com/track/0cMX2bwkAyJ8j3FpFhtjhw,"{'danceability': 0.578, 'energy': 0.379, 'key': 7, 'loudness': -12.101, 'mode': 0, 'speechiness': 0.49, 'acousticness': 0.478, 'instrumentalness': 0.743, 'liveness': 0.126, 'valence': 0.254, 'tempo': 121.883, 'type': 'audio_features', 'id': '0cMX2bwkAyJ8j3FpFhtjhw', 'uri': 'spotify:track:0cMX2bwkAyJ8j3FpFhtjhw', 'track_href': 'https://api.spotify.com/v1/tracks/0cMX2bwkAyJ8j3FpFhtjhw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0cMX2bwkAyJ8j3FpFhtjhw', 'duration_ms': 124278, 'time_signature': 3}"
Too Much Time,Captain Beefheart & His Magic Band,https://open.spotify.com/track/1TzUVJVzOPkX5i8BpoAiu4,"{'danceability': 0.844, 'energy': 0.39, 'key': 9, 'loudness': -13.774, 'mode': 1, 'speechiness': 0.0634, 'acousticness': 0.482, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.963, 'tempo': 110.834, 'type': 'audio_features', 'id': '1TzUVJVzOPkX5i8BpoAiu4', 'uri': 'spotify:track:1TzUVJVzOPkX5i8BpoAiu4', 'track_href': 'https://api.spotify.com/v1/tracks/1TzUVJVzOPkX5i8BpoAiu4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1TzUVJVzOPkX5i8BpoAiu4', 'duration_ms': 170400, 'time_signature': 4}"
Diddy Wah Diddy,Captain Beefheart & His Magic Band,https://open.spotify.com/track/7tWQKJnPrHVxB6MnoBivgb,"{'danceability': 0.531, 'energy': 0.807, 'key': 5, 'loudness': -9.774, 'mode': 1, 'speechiness': 0.0431, 'acousticness': 0.0276, 'instrumentalness': 0.000631, 'liveness': 0.0697, 'valence': 0.778, 'tempo': 133.144, 'type': 'audio_features', 'id': '7tWQKJnPrHVxB6MnoBivgb', 'uri': 'spotify:track:7tWQKJnPrHVxB6MnoBivgb', 'track_href': 'https://api.spotify.com/v1/tracks/7tWQKJnPrHVxB6MnoBivgb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7tWQKJnPrHVxB6MnoBivgb', 'duration_ms': 147667, 'time_signature': 4}"
"Sure 'Nuff 'n' Yes, I Do",Captain Beefheart & His Magic Band,https://open.spotify.com/track/0u7nB1PFBfGdKh8TrwRilH,"{'danceability': 0.458, 'energy': 0.704, 'key': 8, 'loudness': -9.609, 'mode': 1, 'speechiness': 0.0578, 'acousticness': 0.414, 'instrumentalness': 0.000161, 'liveness': 0.334, 'valence': 0.846, 'tempo': 115.79, 'type': 'audio_features', 'id': '0u7nB1PFBfGdKh8TrwRilH', 'uri': 'spotify:track:0u7nB1PFBfGdKh8TrwRilH', 'track_href': 'https://api.spotify.com/v1/tracks/0u7nB1PFBfGdKh8TrwRilH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0u7nB1PFBfGdKh8TrwRilH', 'duration_ms': 134667, 'time_signature': 4}"
Frownland,Captain Beefheart & His Magic Band,https://open.spotify.com/track/6Hg66pZCARudwcPYbiXkrG,"{'danceability': 0.443, 'energy': 0.84, 'key': 0, 'loudness': -8.062, 'mode': 1, 'speechiness': 0.197, 'acousticness': 0.286, 'instrumentalness': 3.25e-05, 'liveness': 0.339, 'valence': 0.513, 'tempo': 125.227, 'type': 'audio_features', 'id': '6Hg66pZCARudwcPYbiXkrG', 'uri': 'spotify:track:6Hg66pZCARudwcPYbiXkrG', 'track_href': 'https://api.spotify.com/v1/tracks/6Hg66pZCARudwcPYbiXkrG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Hg66pZCARudwcPYbiXkrG', 'duration_ms': 100319, 'time_signature': 3}"
Zig Zag Wanderer,Captain Beefheart & His Magic Band,https://open.spotify.com/track/1F7euzYeo32NncoyEBo63v,"{'danceability': 0.428, 'energy': 0.843, 'key': 9, 'loudness': -7.655, 'mode': 1, 'speechiness': 0.0747, 'acousticness': 0.058, 'instrumentalness': 0.0334, 'liveness': 0.115, 'valence': 0.885, 'tempo': 143.758, 'type': 'audio_features', 'id': '1F7euzYeo32NncoyEBo63v', 'uri': 'spotify:track:1F7euzYeo32NncoyEBo63v', 'track_href': 'https://api.spotify.com/v1/tracks/1F7euzYeo32NncoyEBo63v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1F7euzYeo32NncoyEBo63v', 'duration_ms': 158800, 'time_signature': 4}"
Tropical Hot Dog,Captain Beefheart & His Magic Band,https://open.spotify.com/track/7ouxNvIjP3xb0Z911OLHPC,"{'danceability': 0.612, 'energy': 0.781, 'key': 7, 'loudness': -9.967, 'mode': 1, 'speechiness': 0.154, 'acousticness': 0.378, 'instrumentalness': 0.00343, 'liveness': 0.186, 'valence': 0.881, 'tempo': 100.181, 'type': 'audio_features', 'id': '7ouxNvIjP3xb0Z911OLHPC', 'uri': 'spotify:track:7ouxNvIjP3xb0Z911OLHPC', 'track_href': 'https://api.spotify.com/v1/tracks/7ouxNvIjP3xb0Z911OLHPC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ouxNvIjP3xb0Z911OLHPC', 'duration_ms': 288627, 'time_signature': 4}"
