title,artist
flowers,miley cyrus
"shakira: bzrp music sessions, vol. 53",bizarrap & shakira
vibe (feat. jimin of bts),taeyang
unholy,sam smith & kim petras
anti-hero,taylor swift
made you look,meghan trainor
thought you should know,morgan wallen
heart like a truck,lainey wilson
wait in the truck,hardy & lainey wilson
son of a sinner,jelly roll
i ain't worried,onerepublic
journey,zhang zhe han
lift me up (from black panther: wakanda forever - music from and inspired by),rihanna
thank god,kane brown & katelyn brown
i'm good (blue),david guetta & bebe rexha
need a favor,jelly roll
fall in love,bailey zimmerman
unstoppable,sia
something in the orange (z&e's version),zach bryan
separate ways (worlds apart) [feat. lzzy hale],daughtry
this is our god,phil wickham
rock and a hard place,bailey zimmerman
you proof,morgan wallen
players,coi leray
the kind of love we make,luke combs
calm down,rema & selena gomez
kill bill,sza
temperature,sean paul
one thing at a time,morgan wallen
shoot tequila,tigirlily gold
wasted on you,morgan wallen
what my world spins around,jordan davis
"going, going, gone",luke combs
cuff it,beyoncé
looking for you,chris young
cooler than me (single mix),mike posner
as it was,harry styles
lights out,lisa marie presley
bloody mary,lady gaga
i'll be waiting,cian ducrot
golden hour,jvke
hold my hand,lady gaga
under the influence,chris brown
creepin',"metro boomin, the weeknd & 21 savage"
how do i say goodbye,dean lewis
bebe dame,fuerza regida & grupo frontera
where no one stands alone [with lisa marie presley] [2018 version],elvis presley
wasted (feat. kodak black & koe wetzel),diplo
tennessee whiskey,chris stapleton
hold me closer,elton john & britney spears
people get ready,jeff beck & rod stewart
wreckage,nate smith
happier than ever,kelly clarkson
pretty girls walk,big boss vette
i ain't a bitch,alaura lynne
runs in the water,royale lynn
que vuelvas,carin leon & grupo frontera
i'm good (blue),david guetta & bebe rexha
10:35,tiësto & tate mcrae
pick me up,gabby barrett
it's a beautiful day (reprise),the kiffness & rushawn
rich flex,drake & 21 savage
escapism.,raye & 070 shake
sure thing,miguel
she had me at heads carolina,cole swindell
gratitude,brandon lake
handle on you,parker mccollum
shivers,ed sheeran
what he didn't do,carly pearce
'til you can't,cody johnson
forget me,lewis capaldi
victoria’s secret,jax
suspicious minds,elvis presley
cold heart (pnau remix),elton john & dua lipa
about damn time,lizzo
tennessee orange,megan moroney
run away to mars,talk
chasin' you,morgan wallen
something in the orange,zach bryan
sunroof,nicky youre & dazy
ghost,tom macdonald
until i found you,stephen sanchez
sober,p!nk
hey there delilah,plain white t's
i'm a believer,the monkees
no horse to ride,luke grimes
way of the triune god (hallelujah version),tyler childers
bad habit,steve lacy
watermelon moonshine,lainey wilson
daydream,lily meola
million dollar baby,ava max
smell like smoke,lainey wilson
build a boat,colton dixon
die for you,the weeknd
thunderstruck,ac/dc
goodness of god (live),cece winans
goo goo muck,the cramps
tishomingo,zach bryan
can't help falling in love,elvis presley
calm down,rema
